iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,,,
BHR,Asia,Bahrain,2022/6/15,599924,1372,1176.286,1490,0,0.143,343148.039,784.765,672.819,852.259,0,0.082,,,,,,,,,,,,,,,,,,,3449353,1237637,1222039,989677,327,308,197.3,70.79,69.9,56.61,176,48,0.003,,1748295,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,,,,,,,
BGD,Asia,Bangladesh,2022/6/15,1954637,232,117.857,29131,0,0,11753.433,1.395,0.709,175.168,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,,,,,,,
BRB,North America,Barbados,2022/6/15,82545,96,106.429,471,3,0.714,286905.474,333.672,369.919,1637.076,10.427,2.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287708,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,,,,
BLR,Europe,Belarus,2022/6/15,982867,0,0,6978,0,0,104085.655,0,0,738.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9442867,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,,,,,,,
BEL,Europe,Belgium,2022/6/15,4177440,,,31835,,,359123.113,,,2736.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11632334,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,,,,
BLZ,North America,Belize,2022/6/15,61150,,,678,0,0,151019.35,,,1674.425,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404915,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,,,,
BEN,Africa,Benin,2022/6/15,26952,0,0,163,0,0,2164.64,0,0,13.091,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451031,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,,,,
BMU,North America,Bermuda,2022/6/15,15428,0,0,138,0,0,248470.012,0,0,2222.509,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,,,
BTN,Asia,Bhutan,2022/6/15,59644,0,1.143,21,0,0,76476.471,0,1.465,26.927,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779900,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,,,,
BOL,South America,Bolivia,2022/6/15,913874,512,383.714,21951,0,0.143,77231.382,43.269,32.428,1855.076,0,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11832936,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,,,,
BES,North America,Bonaire Sint Eustatius and Saba,2022/6/15,10249,30,7.857,36,0,0.143,387559.085,1134.43,297.113,1361.316,0,5.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26445,,,,,,,,,,,,,77.79,,,,,,,,
