iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,,,
FRO,Europe,Faeroe Islands,2022/6/15,34658,0,0,28,0,0,706541.904,0,0,570.811,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49053,35.308,,,,,,,,,,,,80.67,,,,,,,,
FLK,South America,Falkland Islands,2022/6/15,1756,23,3.286,,,,497732.426,6519.274,931.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3528,,,,,,,,,,,,,81.44,,,,,,,,
FJI,Oceania,Fiji,2022/6/15,65217,0,16.286,865,0,0.143,72230.67,0,18.037,958.025,0,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902899,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,,,,
FIN,Europe,Finland,2022/6/15,1114573,,,4714,,,200883.288,,,849.62,,,,,,,,,,,,,,,,,,,,,12116461,4515765,4331885,3268811,,5539,218.38,81.39,78.08,58.91,998,125,0.002,,5548361,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,,,,
FRA,Europe,France,2022/6/15,30036189,51954,38390.714,149016,49,39.857,445495.372,770.579,569.409,2210.198,0.727,0.591,,847,12.563,13910,206.312,385,5.71,3421,50.74,,,,,,,,,,,,,,,,,,,,,,,,67422000,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,,,,
PYF,Oceania,French Polynesia,2022/6/15,73124,18,8.857,649,0,0,258814.868,63.709,31.349,2297.069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,,,
GAB,Africa,Gabon,2022/6/15,47711,0,4.857,304,0,0,20936.63,0,2.131,133.402,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278829,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,,,,
GMB,Africa,Gambia,2022/6/15,12002,0,0,365,0,0,4826.017,0,0,146.767,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486937,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,,,
GEO,Asia,Georgia,2022/6/15,1658755,515,73.571,16838,3,0.429,416796.385,129.404,18.486,4230.895,0.754,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979773,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,,,,
DEU,Europe,Germany,2022/6/15,27096571,89142,62274.143,140099,73,68,322960.893,1062.473,742.238,1669.824,0.87,0.81,,668,7.962,,,,,3371,40.179,,,,,,,,,,,,,,,,,,,,,,,,83900471,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,,,,,,,
GHA,Africa,Ghana,2022/6/15,163191,545,192.857,1445,0,0,5142.769,17.175,6.078,45.537,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31732128,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,,,,
GIB,Europe,Gibraltar,2022/6/15,18806,,,102,0,0,558190.615,,,3027.515,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33691,3457.1,,,,,,,,,,,,79.93,,,,,,,,
GRC,Europe,Greece,2022/6/15,3517898,9288,4946.143,30049,16,11.857,339213.559,895.596,476.932,2897.477,1.543,1.143,,,,,,,,,,,,,,,,,,,21049656,7917346,7626995,6081322,2307,1611,202.97,76.34,73.54,58.64,155,95,0.001,,10370747,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,,,,,,,
GRL,North America,Greenland,2022/6/15,11971,0,0,21,0,0,210505.029,0,0,369.276,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56868,0.137,,,,,,199.941,2.16,,,,,71.7,,,,,,,,
GRD,North America,Grenada,2022/6/15,18115,0,23.857,231,0,0,160288.457,0,211.097,2043.976,0,0,,,,,,,,,,,,,,,,,,,88940,43703,38492,6745,,20,78.7,38.67,34.06,5.97,177,5,0.004,,113015,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,,,,
GTM,North America,Guatemala,2022/6/15,874926,2138,1089.286,18324,15,11.429,47941.497,117.152,59.687,1004.062,0.822,0.626,,,,,,,,,,,,,,,,,,,17723327,8274669,6290824,3157834,,14936,97.11,45.34,34.47,17.3,818,2259,0.012,,18249868,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,,,,
GIN,Africa,Guinea,2022/6/15,36817,0,7.571,442,0,0,2727.743,0,0.561,32.747,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13497237,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,,,,
GNB,Africa,Guinea-Bissau,2022/6/15,8307,0,2.429,171,0,0,4121.578,0,1.205,84.843,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,,,,
GUY,South America,Guyana,2022/6/15,66129,120,81.286,1244,2,0.714,83672.749,151.836,102.85,1574.028,2.531,0.904,,,,,,,,,,,,,,,,,,,912674,477694,368100,66880,,167,115.48,60.44,46.58,8.46,211,37,0.005,,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,,,
HTI,North America,Haiti,2022/6/15,31054,20,13,837,0,0.286,2690.595,1.733,1.126,72.52,0,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11541683,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,,,,,,,
OWID_HIC,,High income,2022/6/15,314138652,598226,437340.143,2433477,1483,989.571,258565.179,492.395,359.971,2002.977,1.221,0.815,,,,,,,,,,,,,,,,,,,2488136476,970125498,910306304,635275757,,,204.8,79.85,74.93,52.29,,,,,1214930230,,,,,,,,,,,,,,,,,,,,,
HND,North America,Honduras,2022/6/15,425655,0,26.286,10902,0,0.286,42299.041,0,2.612,1083.375,0,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10062994,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,,,,,,,
HKG,Asia,Hong Kong,2022/6/15,1221808,1047,797.143,9392,1,0.429,161768.88,138.624,105.543,1243.512,0.132,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7552800,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,,,,
HUN,Europe,Hungary,2022/6/15,1923122,1636,233.714,46594,23,3.286,199614.87,169.812,24.259,4836.331,2.387,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,,,,
ISL,Europe,Iceland,2022/6/15,190643,,,153,0,0,516939.088,,,414.868,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368792,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,,,,,,,
IND,Asia,India,2022/6/15,43257730,12213,8601.143,524803,11,11.429,31044.531,8.765,6.173,376.632,0.008,0.008,,,,,,,,,,,,,,,,,,,1954285339,1013988367,901971812,38325160,1517997,1536030,140.25,72.77,64.73,2.75,1102,189707,0.014,,1393409033,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,,,
IDN,Asia,Indonesia,2022/6/15,6056017,0,0,156604,0,0,21913.366,0,0,566.663,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276361788,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,,,,
OWID_INT,,International,2022/6/15,721,0,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,2022/6/15,7234221,179,157.714,141357,4,2.143,85079.695,2.105,1.855,1662.461,0.047,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85028760,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,,,
IRQ,Asia,Iraq,2022/6/15,2330735,342,232.429,25225,1,0.571,56599.605,8.305,5.644,612.564,0.024,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41179351,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,,,,,,,
IRL,Europe,Ireland,2022/6/15,1578284,7765,1109.286,7442,26,3.714,316739.797,1558.328,222.618,1493.507,5.218,0.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4982904,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955,,,,,,,
IMN,Europe,Isle of Man,2022/6/15,33821,570,103.286,107,0,0,395984.077,6673.692,1209.293,1252.781,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85410,147.872,,,,,,,,,,,,81.4,,,,,,,,
ISR,Asia,Israel,2022/6/15,4205416,7222,5848.857,10882,,,452633.301,777.311,629.519,1171.241,,,,33,3.552,420,45.205,,,439,47.25,,,,,,,,,,18167174,6710694,6142614,5313866,474,770,195.54,72.23,66.11,57.19,83,59,0.001,,9291000,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,,,,
ITA,Europe,Italy,2022/6/15,17736696,32809,24376.429,167553,48,54.857,293812.143,543.488,403.801,2775.551,0.795,0.909,,189,3.131,4407,73.003,156,2.584,,,,,,,,,,,,138029792,50794503,47941786,40801205,18413,15820,228.65,84.14,79.42,67.59,262,467,0.001,,60367471,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,,,,
JAM,North America,Jamaica,2022/6/15,140874,120,202.571,3091,0,1.714,47377.098,40.357,68.126,1039.529,0,0.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973462,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,,,,,,,
JPN,Asia,Japan,2022/6/15,9079462,16544,14413,30961,23,20.143,72030.184,131.249,114.343,245.623,0.182,0.16,,,,,,,,,,,,,,,,,,,282950829,103683755,102240402,77026672,41807,102037,224.47,82.26,81.11,61.11,809,4556,0.004,,126050796,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,,,,
JOR,Asia,Jordan,2022/6/15,1697673,,,14068,0,0,165319.833,,,1369.945,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10269022,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,,,,
KAZ,Asia,Kazakhstan,2022/6/15,1395085,17,12.571,19017,0,0.143,73445.016,0.895,0.662,1001.16,0,0.008,,,,,,,,,,,,,,,,,,,,9515881,9294229,,,,,50.1,48.93,,,762,0.004,,18994958,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,,,
KEN,Africa,Kenya,2022/6/15,327892,467,268.143,5651,0,0,5963.223,8.493,4.877,102.772,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54985702,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,,,,
KIR,Oceania,Kiribati,2022/6/15,3215,0,4.571,13,0,0,26485.32,0,37.66,107.095,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121388,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,,,,,,,
OWID_KOS,Europe,Kosovo,2022/6/15,228465,15,8.286,3139,0,0,128198.797,8.417,4.649,1761.39,0,0,,,,,,,,,,,,,,,,,,,1830080,903514,823516,103050,64,56,102.69,50.7,46.21,5.78,31,13,0.001,,1782115,168.155,,,,9795.834,0.6,,,,,,,,,,,,,,,
KWT,Asia,Kuwait,2022/6/15,637470,409,419,2555,0,0,147270.924,94.489,96.799,590.267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4328553,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806,,,,,,,
KGZ,Asia,Kyrgyzstan,2022/6/15,201016,23,3.286,2991,0,0,30326.716,3.47,0.496,451.244,0,0,,,,,,,,,,,,,,,,,,,3133238,1566673,1313859,,1724,1613,47.27,23.64,19.82,,243,444,0.007,,6628347,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,,,,,,,
LAO,Asia,Laos,2022/6/15,210173,9,9.571,757,0,0.143,28481.204,1.22,1.297,102.583,0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,,,,,,,
LVA,Europe,Latvia,2022/6/15,831248,271,199.571,5841,0,0.714,445247.663,145.158,106.898,3128.659,0,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,,,
LBN,Asia,Lebanon,2022/6/15,1101508,,,10447,0,1.143,162724.69,,,1543.325,0,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6769151,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,,,,,,,
LSO,Africa,Lesotho,2022/6/15,33746,0,8,699,0,0,15629.899,0,3.705,323.751,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159067,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,,,,
LBR,Africa,Liberia,2022/6/15,7460,0,0.571,294,0,0,1440.097,0,0.11,56.754,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5180208,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,,,,
LBY,Africa,Libya,2022/6/15,502076,0,5.143,6430,0,0,72152.512,0,0.739,924.045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6958538,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,,,,,,,
LIE,Europe,Liechtenstein,2022/6/15,17653,25,10,85,0,0.143,461468.082,653.526,261.411,2221.99,0,3.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38254,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,,,,
LTU,Europe,Lithuania,2022/6/15,1064538,230,150.857,9158,3,1.143,395759.336,85.506,56.084,3404.636,1.115,0.425,,,,,,,,,,,,,,,,,,,4487147,1952117,1876343,933636,78,110,166.82,72.57,69.76,34.71,41,18,0.001,,2689862,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882,,,,,,,
OWID_LIC,,Low income,2022/6/15,1846211,1155,1183.714,43184,1,2.286,2775.635,1.736,1.78,64.924,0.002,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665149040,,,,,,,,,,,,,,,,,,,,,
OWID_LMC,,Lower middle income,2022/6/15,90995261,18385,13145.857,1310342,27,20.286,27320.55,5.52,3.947,393.419,0.008,0.006,,,,,,,,,,,,,,,,,,,4111385340,2056204412,1802470116,285947356,,,123.44,61.74,54.12,8.59,,,,,3330652550,,,,,,,,,,,,,,,,,,,,,
LUX,Europe,Luxembourg,2022/6/15,253318,625,482.714,1084,0,0.429,399042.869,984.54,760.403,1707.587,0,0.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634814,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,,,,
MAC,Asia,Macao,2022/6/15,83,0,0,,,,126.065,0,0,,,,,,,,,,,,,,,,,,,,,,1431156,611828,583499,274489,951,1153,217.37,92.93,88.62,41.69,1751,150,0.023,,658391,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,,,,
MDG,Africa,Madagascar,2022/6/15,64685,,,1396,0,0,2275.451,,,49.108,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,,,
MWI,Africa,Malawi,2022/6/15,86146,12,14.714,2642,0,0,4384.538,0.611,0.749,134.469,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,,,,
MYS,Asia,Malaysia,2022/6/15,4532632,2320,1952.429,35725,5,2.857,138290.366,70.783,59.568,1089.968,0.153,0.087,,38,1.159,470,14.34,,,845,25.781,,,,,,,,,,71082737,28013739,27160903,16122774,7496,8758,216.87,85.47,82.87,49.19,267,589,0.002,,32776195,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,,,,
MDV,Asia,Maldives,2022/6/15,179979,,,299,0,0,331075.016,,,550.017,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543620,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74,,,,,,,
MLI,Africa,Mali,2022/6/15,31134,2,2.286,736,0,0.143,1492.828,0.096,0.11,35.29,0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20855724,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,,,,,,,
MLT,Europe,Malta,2022/6/15,96763,273,185.143,728,0,0.714,187488.859,528.967,358.734,1410.579,0,1.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516100,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,,,,,,,
MHL,Oceania,Marshall Islands,2022/6/15,18,0,0,,,,301.922,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,,,,,,,
MRT,Africa,Mauritania,2022/6/15,59275,15,7.857,982,0,0,12413.327,3.141,1.645,205.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4775110,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546,,,,,,,
MUS,Africa,Mauritius,2022/6/15,227442,,,1000,0,0.571,178606.093,,,785.282,0,0.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,,,,
MEX,North America,Mexico,2022/6/15,5843190,9452,5788.286,325271,29,30.857,44857.135,72.561,44.436,2497.048,0.223,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,,,,,,
FSM,Oceania,Micronesia (country),2022/6/15,35,0,0,,,,301.062,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,,,67.88,0.62,,,,,,,
MDA,Europe,Moldova,2022/6/15,519452,218,32,11554,0,0.429,129087.667,54.175,7.952,2871.255,0,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4024025,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,,,,
MCO,Europe,Monaco,2022/6/15,12550,36,23.286,57,0,0,317560.729,910.931,589.213,1442.308,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,,,,
MNG,Asia,Mongolia,2022/6/15,926282,,,2179,0,0,278222.752,,,654.495,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3329282,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737,,,,,,,
MNE,Europe,Montenegro,2022/6/15,238123,80,62.143,2722,0,0.286,379145.961,127.378,98.946,4334.043,0,0.455,,,,,,,,,,,,,,,,,,,674545,291369,283513,99663,34,48,107.4,46.39,45.14,15.87,76,13,0.002,,628051,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829,,,,,,,
MSR,North America,Montserrat,2022/6/15,1014,2,1.571,8,0,0,203573.58,401.526,315.485,1606.103,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4981,,,,,,,,,,,,,74.16,,,,,,,,
MAR,Africa,Morocco,2022/6/15,1179474,1632,1071.714,16085,2,0.429,31583.364,43.701,28.698,430.716,0.054,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37344787,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,,,,,,,
MOZ,Africa,Mozambique,2022/6/15,226749,118,85.857,2208,0,0.286,7049.985,3.669,2.669,68.65,0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32163045,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,,,,,,,
MMR,Asia,Myanmar,2022/6/15,613464,4,8.429,19434,0,0,11193.37,0.073,0.154,354.596,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,,,,,,,
NAM,Africa,Namibia,2022/6/15,168591,143,146.571,4052,3,1.714,65159.871,55.269,56.649,1566.085,1.159,0.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,,,
NPL,Asia,Nepal,2022/6/15,979297,19,10.571,11952,0,0,33000.83,0.64,0.356,402.764,0,0,,,,,,,,,,,,,,,,,,,44802104,22492202,20027781,5692302,168217,119093,150.98,75.8,67.49,19.18,4013,5615,0.019,,29674920,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,,,,,,,
NLD,Europe,Netherlands,2022/6/15,8124654,3415,2447.143,22423,1,1.429,473103.682,198.858,142.499,1305.705,0.058,0.083,,28,1.63,419,24.399,33,1.922,302,17.586,,,,,,,,,,,,,,,,,,,,,,,,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,,,,
NCL,Oceania,New Caledonia,2022/6/15,63002,136,54.143,313,0,0,218592.241,471.867,187.854,1085.987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,,,,
NZL,Oceania,New Zealand,2022/6/15,1260441,5881,5531,1308,13,9.714,245877.338,1147.221,1078.946,255.155,2.536,1.895,,,,,,,,,,,,,,,,,,,11104284,4291685,4108950,2703649,1370,1319,216.61,83.72,80.15,52.74,257,81,0.002,,5126300,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,,,,,,
NIC,North America,Nicaragua,2022/6/15,14619,42,6,241,1,0.143,2181.166,6.266,0.895,35.957,0.149,0.021,,,,,,,,,,,,,,,,,,,11139671,5866669,5273002,,,23747,166.2,87.53,78.67,,3543,4207,0.063,,6702379,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,,,,,,,
NER,Africa,Niger,2022/6/15,9031,0,0,310,0,0,359.36,0,0,12.335,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25130810,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,,,,,,,
NGA,Africa,Nigeria,2022/6/15,256404,0,25.286,3144,0,0,1212.881,0,0.12,14.872,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211400704,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,,,,,,,
OWID_NAM,,North America,2022/6/15,101452674,200773,115352.857,1454539,782,383.286,170056.75,336.539,193.356,2438.124,1.311,0.642,,,,,,,,,,,,,,,,,,,1019290169,433818558,380399215,217211370,,,170.86,72.72,63.76,36.41,,,,,596581283,,,,,,,,,,,,,,,,,,,,,
PRK,Asia,North Korea,2022/6/15,1,0,0,6,0,0,0.039,0,0,0.232,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25887045,211.701,35.3,9.491,6.139,,,321.681,4,,,,13.2,72.27,,,,,,,,
MKD,Europe,North Macedonia,2022/6/15,312748,75,47.143,9318,2,0.714,150167.502,36.012,22.636,4474.084,0.96,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082661,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774,,,,,,,
NOR,Europe,Norway,2022/6/15,1438244,477,390.286,3250,40,5.714,263143.364,87.273,71.407,594.625,7.318,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5465629,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,,,,,,,
